1 {'weights': 'distance', 'n_neighbors': 5}
2 {'weights': 'distance', 'n_neighbors': 3}
3 {'weights': 'distance', 'n_neighbors': 3}
4 {'weights': 'distance', 'n_neighbors': 3}
5 {'weights': 'distance', 'n_neighbors': 5}
6 {'weights': 'distance', 'n_neighbors': 3}
7 {'weights': 'distance', 'n_neighbors': 3}
8 {'weights': 'distance', 'n_neighbors': 3}
9 {'weights': 'distance', 'n_neighbors': 5}
10 {'weights': 'distance', 'n_neighbors': 3}
11 {'weights': 'distance', 'n_neighbors': 3}
12 {'weights': 'distance', 'n_neighbors': 5}
13 {'weights': 'distance', 'n_neighbors': 3}
14 {'weights': 'distance', 'n_neighbors': 3}
15 {'weights': 'distance', 'n_neighbors': 3}
16 {'weights': 'distance', 'n_neighbors': 7}
17 {'weights': 'distance', 'n_neighbors': 3}
18 {'weights': 'distance', 'n_neighbors': 5}
19 {'weights': 'distance', 'n_neighbors': 3}
20 {'weights': 'distance', 'n_neighbors': 5}
21 {'weights': 'distance', 'n_neighbors': 3}
22 {'weights': 'distance', 'n_neighbors': 3}
23 {'weights': 'distance', 'n_neighbors': 3}
24 {'weights': 'uniform', 'n_neighbors': 3}
25 {'weights': 'distance', 'n_neighbors': 3}
26 {'weights': 'distance', 'n_neighbors': 3}
27 {'weights': 'distance', 'n_neighbors': 3}
28 {'weights': 'distance', 'n_neighbors': 3}
29 {'weights': 'distance', 'n_neighbors': 3}
30 {'weights': 'distance', 'n_neighbors': 3}
